Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
417,Heart Full of Soul,The Yardbirds,album rock,2002,141,67,49,-10,5,70,148,23,4,62
565,You Keep Me Hangin On,Kim Wilde,dance pop,1986,123,68,69,-12,14,71,255,8,3,60
432,Slave To Love,Bryan Ferry,album rock,1985,148,82,66,-6,5,79,266,18,3,66
542,Knock You Down,Keri Hilson,dance pop,2009,155,88,59,-5,17,65,326,1,16,56
29,All Right,Christopher Cross,adult standards,1983,133,65,71,-5,23,50,254,17,4,63
336,Mr. Soul,Buffalo Springfield,blues rock,1969,135,55,67,-13,4,96,172,10,3,41
241,Suite: Judy Blue Eyes - Remastered,Crosby Stills & Nash,album rock,1969,154,36,45,-13,20,30,444,47,4,66
523,Lady - Hear Me Tonight,Modjo,disco house,2001,126,81,72,-6,6,87,307,1,4,68
406,How Deep Is Your Love,Bee Gees,adult standards,1979,105,36,63,-9,13,67,245,11,3,77
519,Let Your Love Flow,The Bellamy Brothers,country,1976,109,55,68,-15,14,95,199,6,3,68
543,Goodbye Yellow Brick Road - Remastered 2014,Elton John,glam rock,1973,121,47,56,-8,15,40,193,45,3,63
223,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,75,-5,69,65,213,15,6,60
32,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1997,108,85,73,-4,27,61,225,4,4,73
467,It's Gonna Be Me,*NSYNC,boy band,2000,165,87,64,-5,6,88,191,5,8,62
403,I'm Still Standing,Elton John,glam rock,1983,177,90,50,-7,14,77,183,36,18,79
360,Fame - Rerecorded,Irene Cara,dance rock,2018,131,80,71,-7,8,94,319,7,3,62
227,Sorry Seems To Be The Hardest Word,Elton John,glam rock,1976,118,22,37,-13,20,11,229,83,3,62
269,Forever Young,Alphaville,dance rock,1984,137,48,49,-9,24,33,227,42,3,73
258,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,85
139,Angels,Robbie Williams,dance pop,1997,150,59,43,-6,10,24,265,16,3,73
257,Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,82
525,Voulez-Vous,ABBA,europop,1979,127,77,71,-7,17,90,309,15,4,63
374,Super Trouper,ABBA,europop,1980,118,63,76,-8,20,96,253,46,3,70
376,Walkin' Back to Happiness,Helen Shapiro,adult standards,2017,97,67,65,-9,17,83,150,66,8,42
20,Everlasting Love,Love Affair,bubblegum pop,2012,121,60,50,-10,49,81,182,26,4,51
142,Friday On My Mind,The Easybeats,australian rock,1965,95,99,37,-1,9,51,163,38,8,59
465,D̩senchant̩e - Radio Edit,Kate Ryan,belgian pop,2008,140,94,52,-5,23,29,221,17,7,57
247,You To Me Are Everything,The Real Thing,brit funk,1999,102,91,64,-8,8,82,210,23,10,62
6,Where Is The Love?,The Black Eyed Peas,dance pop,2003,94,69,84,-3,13,83,273,10,18,75
379,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,2006,100,42,62,-7,12,29,203,29,2,61
567,Cry Like a Baby,The Box Tops,brill building pop,1968,133,47,67,-12,50,77,152,34,3,40
476,Waterloo,ABBA,europop,1974,148,95,45,-5,9,65,169,40,5,66
304,Thank God I Found You,Mariah Carey,dance pop,1999,130,53,47,-6,11,15,257,59,3,61
473,Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,78
530,Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,adult standards,2011,82,43,49,-12,12,66,151,70,6,60
327,White Room,Cream,album rock,1968,110,58,55,-13,4,46,298,19,3,73
372,Hey! Baby - Remastered,Bruce Channel,rock-and-roll,2017,64,62,52,-6,27,64,144,36,4,60
255,Please Don't Go,Joel Adams,australian pop,2015,84,77,51,-5,29,24,211,1,6,76
591,It's Not Right But It's Okay,Whitney Houston,dance pop,1998,128,80,81,-7,7,53,292,16,10,64
81,Airplanes (feat. Hayley Williams),B.o.B,atl hip hop,2010,93,87,66,-4,4,38,180,11,12,75
8,You Don't Know Me (feat. RAYE),Jax Jones,dance pop,2019,124,67,88,-6,32,67,213,16,14,70
405,Hero,Mariah Carey,dance pop,1993,120,38,50,-9,12,18,258,74,3,71
518,Solo (feat. Demi Lovato),Clean Bandit,dance pop,2018,105,64,74,-5,35,56,223,4,4,79
331,Black Christ of the Andes (St. Martin de Porres),Mary Lou Williams,bebop,1964,89,7,20,-20,13,6,400,98,3,42
486,Silence,Marshmello,brostep,2017,142,76,52,-3,17,29,181,26,9,80
366,Never Forget You,Zara Larsson,dance pop,2017,146,73,58,-6,27,28,213,0,5,75
335,Dilemma,Nelly,dance pop,2002,168,55,73,-8,20,61,289,23,14,77
280,Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,78
57,This Will Be Our Year,The Zombies,art rock,1968,98,42,54,-7,19,54,128,63,3,61
443,Dancing On My Own,Calum Scott,pop,2018,113,17,68,-9,10,24,260,84,3,83
550,No Promises (feat. Demi Lovato),Cheat Codes,dance pop,2017,113,67,74,-5,11,60,224,6,13,73
16,"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,jazz fusion,1991,191,39,41,-17,10,40,215,42,3,58
573,Sun Is Shining,Axwell /\ Ingrosso,big room,2017,132,76,47,-3,7,38,255,9,5,71
344,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,dance pop,2017,121,87,70,-5,10,73,194,15,3,71
201,One of These Days,Emmylou Harris,country rock,1975,125,39,66,-9,12,68,184,45,3,46
27,Red Rubber Ball,The Cyrkle,brill building pop,2002,92,52,61,-10,9,79,139,43,3,39
103,Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,2009,130,30,96,-6,8,80,312,2,13,60
528,Sheila,Tommy Roe,adult standards,1962,136,57,42,-9,6,48,127,28,11,42
537,Put Your Head On My Shoulder,Paul Anka,adult standards,2000,116,34,55,-9,10,47,155,75,3,72
221,Exchange,Bryson Tiller,pop,2015,160,43,53,-11,14,27,195,11,19,79
451,Sweet Virginia,The Rolling Stones,album rock,1972,107,74,48,-5,26,56,267,50,4,60
455,Please Mr. Postman,Carpenters,adult standards,1975,133,55,66,-12,24,96,173,14,3,62
26,High,Lighthouse Family,europop,1997,102,63,66,-9,13,59,308,11,3,68
236,Come Together - Remastered 2009,The Beatles,british invasion,1969,165,38,53,-12,9,19,260,3,4,79
383,Glory of Love,Peter Cetera,adult standards,1986,145,59,52,-8,31,31,258,8,3,71
279,Gloria - Stereo Version,Them,blues rock,2015,129,70,64,-10,10,72,157,40,5,62
434,Is This Love - 2017 Remaster,Whitesnake,album rock,1987,180,79,33,-7,12,53,285,11,4,60
273,Classic,MKTO,dance pop,2012,102,79,72,-5,16,76,175,4,12,77
400,It's Only Love - 2008 Remaster,Simply Red,british soul,2008,92,88,67,-5,4,75,299,51,4,50
189,I Love Rock 'N Roll,Joan Jett & The Blackhearts,glam punk,1981,94,72,54,-5,66,90,175,33,4,72
540,TiK ToK,Kesha,dance pop,2014,120,67,75,-7,28,63,200,6,12,63
352,7 rings,Ariana Grande,dance pop,2019,140,32,78,-11,9,33,179,59,33,90
494,Hurts So Good,John Mellencamp,album rock,1982,125,74,79,-5,11,97,219,4,4,69
319,Mamma Mia,ABBA,europop,1975,138,75,75,-7,47,83,213,30,3,72
324,Self Control,Laura Branigan,dance rock,1984,107,69,81,-12,16,78,246,22,3,70
321,Solo Dance,Martin Jensen,big room,2016,115,85,75,-2,20,40,175,5,5,70
148,Lollipop,Lil Wayne,hip hop,2008,148,43,83,-9,14,45,299,6,8,71
478,IDGAF,Dua Lipa,dance pop,2017,97,54,84,-6,8,51,218,4,9,82
121,Pony,Ginuwine,dance pop,1999,142,61,75,-9,12,97,252,0,9,72
84,Sweet Dreams,La Bouche,bubblegum dance,2007,134,96,66,-6,9,83,205,8,5,62
579,Leave The World Behind - Radio Edit,Axwell,big room,2009,128,85,53,-8,32,28,162,0,5,58
461,Rag Doll,Frankie Valli & The Four Seasons,adult standards,2003,121,53,50,-8,7,61,182,76,4,45
177,Pump It,The Black Eyed Peas,dance pop,2005,154,93,65,-3,75,74,213,1,18,72
130,My Spiritual Indian,Eddie Palmieri,boogaloo,1969,121,92,48,-6,7,50,400,58,8,41
305,All I Wanna Do,Martin Jensen,big room,2016,112,79,73,-4,7,56,194,16,7,32
147,Now And Forever,Richard Marx,mellow gold,1994,78,26,44,-11,11,17,215,66,3,65
217,I'd Really Love to See You Tonight - 2012 Collection Remaster,England Dan,adult standards,2012,119,77,58,-5,17,67,158,20,3,50
576,Alone,Alan Walker,electro house,2016,97,93,68,-3,12,16,161,19,5,70
64,Umbrella,Rihanna,barbadian pop,2008,174,83,58,-5,4,57,276,1,13,80
320,(I Just) Died In Your Arms,Cutting Crew,album rock,1986,125,73,63,-11,6,51,280,2,4,71
229,I'll Be There,Mariah Carey,dance pop,1998,82,51,41,-10,93,30,264,70,3,56
205,Astral Weeks - 1999 Remaster,Van Morrison,classic rock,1968,81,35,45,-15,14,61,426,54,3,58
586,Doin' It,LL Cool J,east coast hip hop,1996,95,53,81,-12,12,62,294,34,19,46
410,About You Now,Sugababes,bubblegum dance,2007,82,70,58,-6,49,59,212,0,4,65
472,I Want You,Marvin Gaye,classic soul,1976,101,79,52,-10,24,74,274,85,3,56
522,Fat Bottomed Girls - 2011 Remaster,Queen,glam rock,1978,89,68,33,-8,34,42,256,3,5,67
156,Love Story,Taylor Swift,dance pop,2008,119,74,62,-4,8,31,236,13,3,73
162,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,151,43,63,-16,11,95,264,23,4,67
558,Please Mr. Postman,The Marvelettes,brill building pop,1961,122,78,79,-5,18,97,148,73,3,68
568,Hypnotize - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,94,69,90,-4,29,63,230,18,28,68
292,The Way We Were,Barbra Streisand,adult standards,1974,138,32,26,-12,13,17,211,89,3,60
126,In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83
